PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Cumbria,2022.0,1576511.6999999806,20303.67,55.91788016232991,1270,23858.0,0.005591788016232991,0.20361293451486664,0.0816936031230837,455.80850183702154,-1057.2479982103646
Derbyshire,2022.0,1086754.7000000025,2624.74,53.265624239958676,2001,64916.0,0.005326562423995868,0.14814425669653938,0.1102717057771467,401.1595687512667,-2196.3762922901983
Devon and Cornwall,2022.0,1797235.500000015,10268.31,54.989900597778934,3442,64908.0,0.005498990059777894,0.07743189173725668,0.2675804628300053,262.98993320462955,16552.126027861737
Dorset,2022.0,1593132.900000006,2977.06,48.08856502242153,1349,38037.0,0.004808856502242153,0.15378410184550698,0.11395248665466114,322.21600644913065,3898.1717815739894
Durham,2022.0,637062.0000000056,2423.3799999999997,65.66666666666667,1285,43286.0,0.006566666666666668,0.10805410022536045,0.0793845019966066,320.70454777607404,-611.8291309995577
Dyfed-Powys,2022.0,519203.3000000017,10954.32,51.97845788460139,1259,29858.0,0.00519784578846014,0.13394201622071683,0.16279059646281935,278.02194857997426,1260.3791295654034
Essex,2022.0,1878223.800000012,3663.97,48.64249830130973,3604,100999.0,0.004864249830130973,0.22864365783987517,0.19798796535805316,896.7498937127438,8394.563491737743
Gloucestershire,2022.0,645009.4000000097,2652.4500000000003,42.82169693450181,1248,38281.0,0.004282169693450181,0.13115319987556437,0.11710170519428939,250.54124911443378,2208.1555738968373
Greater Manchester,2022.0,2917686.700000018,1276.12,64.06394920617097,7536,14.0,0.0064063949206170975,208.9319847020308,0.09409959303458676,608.1346465578191,406.54337042618045
Gwent,2022.0,592605.5000000047,1551.46,51.97845788460139,1478,35341.0,0.00519784578846014,0.18891369572081898,0.14990018819695802,250.57764166797946,-7519.468968839807
Hampshire and Isle of Wight,2022.0,2043910.100000009,4148.23,43.14797429022277,3227,103473.0,0.004314797429022277,0.07452239642607371,0.0874008040393226,239.05524009258505,11763.920491137133
Hertfordshire,2022.0,1212881.100000009,1643.07,40.33497332322295,2234,54922.0,0.004033497332322295,0.19076018589551028,0.029487277238564685,842.8824714753218,-242.12367909187662
Humberside,2022.0,675263.400000006,3442.83,55.26280387463456,2162,49767.0,0.005526280387463456,0.10863180902360292,0.0369440543837566,322.50817166963094,-332.6680285190179
Kent,2022.0,1865375.8000000343,3738.35,55.51723561371496,4005,111245.0,0.005551723561371496,0.24775642122738856,0.11328466638127774,1167.711319230887,-2128.8579624123695
Lancashire,2022.0,1591528.0000000023,3065.88,60.162611531893084,3321,121488.0,0.006016261153189309,0.1536582527922623,0.11102933626239057,400.0475189001821,-17263.13608266105
Leicestershire,2022.0,1128993.8000000194,2538.09,42.290760292721075,2282,53620.0,0.004229076029272107,0.07131593088695115,0.03421900509348746,249.17902881624957,-3023.4547316893086
Lincolnshire,2022.0,756926.8000000194,5937.35,59.016483508756906,1167,39073.0,0.005901648350875691,0.10395366698053667,0.055972632981138984,246.37220826774237,2735.154327665913
"London, City of",2022.0,11192.400000001304,2.88,31.666666666666668,958,2329.0,0.003166666666666667,5.821908499059582,0.10392566243293065,3001.188196835893,1868.674207433041
Merseyside,2022.0,1440817.9000000097,652.4000000000001,67.11468913562608,4062,90606.0,0.006711468913562608,0.1318052520841167,0.11586479764575924,328.97743056956944,21249.67761267694
Metropolitan Police,2022.0,8881040.200000077,1569.55,58.95259528047169,34517,509085.0,0.005895259528047169,0.12245030082651888,0.04755964035731477,307.63897326689596,26763.675409504725
Norfolk,2022.0,914955.6000000089,5383.6900000000005,57.97262889600568,1872,44483.0,0.005797262889600569,0.10215391608359846,0.09268266651126425,198.29291451434756,-495.627004177945
North Wales,2022.0,690123.9000000022,6153.49,51.97845788460139,1640,47174.0,0.00519784578846014,0.1021873612258505,0.08306468719691056,250.8378522629899,-4790.416664232327
North Yorkshire,2022.0,818954.8000000082,8309.289999999999,39.403933797073634,1637,40272.0,0.003940393379707364,0.20383832283308367,0.11909125230974618,492.91053817906516,2707.5530701534612
Northamptonshire,2022.0,2318503.400000021,6701.4400000000005,49.80767916922867,1429,43360.0,0.004980767916922867,0.11115213745401539,0.06192713856900558,217.33163580457835,1428.571512561757
Northumbria,2022.0,1467502.300000023,5560.13,64.01796301740093,3622,101440.0,0.006401796301740093,0.12401497637340336,0.09835828127569135,208.82680591231002,8423.995042606042
Nottinghamshire,2022.0,1173535.400000004,2159.45,53.07263995786478,2361,59397.0,0.005307263995786478,0.10840277520148625,0.09955960504763975,332.73563679635987,11940.750755951432
South Wales,2022.0,1332703.6000000127,2077.2799999999997,51.97845788460139,3361,65760.0,0.00519784578846014,0.14572891600831553,0.1089182367122207,169.44717378090633,5035.547054104285
South Yorkshire,2022.0,1393388.1000000201,1551.59,67.056185956853,2949,87317.0,0.0067056185956853006,0.11471019791218902,0.015613475774641972,438.93615120304406,2840.7544957155237
Staffordshire,2022.0,1147539.8000000082,2713.75,50.06831967597653,1895,64836.0,0.005006831967597654,0.08982026263311897,0.07129180540928623,421.6491942867681,-1609.9500266843916
Suffolk,2022.0,1017173.2000000067,5061.04,51.6708943367096,1360,34240.0,0.00516708943367096,0.13530327152921565,0.14341576353873253,312.1755030106277,3791.5403355741328
Surrey,2022.0,1218325.000000015,1662.56,30.98171738979266,2117,45199.0,0.003098171738979266,0.2660058427668317,0.05701189552104819,959.0354054122283,-7257.686994211246
Sussex,2022.0,1730106.2000000067,3782.5,49.99813447905561,2960,72385.0,0.004999813447905561,0.11600358087472414,0.09634856180752262,401.36692879603936,-1308.1797813686255
Thames Valley,2022.0,4242168.900000051,10435.39,36.4435697646696,4698,100981.0,0.00364435697646696,0.1003838080153479,0.03805537265928489,513.6411743322988,1464.8384750987811
Warwickshire,2022.0,605886.1000000127,1975.11,45.77359868463561,1018,27241.0,0.004577359868463561,0.15838532390742097,0.06773890014849437,410.8586737472905,880.0214067198912
West Mercia,2022.0,1125056.9000000134,5228.22,49.66931616993597,2343,68730.0,0.004966931616993597,0.13029769339600716,0.18872224997297424,336.077749118964,19247.88987565889
West Midlands,2022.0,2954799.6000000387,901.63,66.66153194009041,7596,185316.0,0.006666153194009042,0.15012353760176742,0.11128989174520815,263.56400922131576,-15476.34942784434
West Yorkshire,2022.0,2378259.4000000283,2029.21,64.63197258961651,5838,170187.0,0.006463197258961651,0.11522596760766896,0.05099658930761067,364.1948743861391,9339.797972309145
Wiltshire,2022.0,753226.2000000067,3485.5,43.84260120986505,1120,32481.0,0.004384260120986506,0.11487447731273925,0.06640834539986576,300.87629013161154,1939.4787399387985
Avon and Somerset,2023.0,1294234.600000009,4666.95,41.86992184552263,3310,83712.0,0.004186992184552264,0.012422523874295257,0.10756321868221361,170.810842805829,-1704.2075840476523
Bedfordshire,2023.0,731577.4000000134,1235.46,53.920716320716316,1444,29930.0,0.005392071632071632,0.11270797244535909,0.023083069937949785,240.4674121259765,-313.0476188010294
Cambridgeshire,2023.0,916206.6000000052,3389.6400000000003,45.85250240330455,1736,40024.0,0.004585250240330455,0.07024328355597532,0.0399661413812735,224.3000159641184,1112.736400698998
Cheshire,2023.0,1122714.2000000104,2346.16,49.520938645426355,2355,47816.0,0.004952093864542636,0.15422779505666748,0.13203885078594643,281.4217794386704,1918.968139440419
Cleveland,2023.0,588768.6000000071,597.65,67.99951660064139,1495,49830.0,0.006799951660064139,0.09159476645848923,0.06268581534854548,205.878331698249,3721.4451382711545
Cumbria,2023.0,1551961.1999999806,20303.67,55.91788016232991,1376,21845.0,0.005591788016232991,0.20361293451486664,0.0816936031230837,435.2798397303985,1125.4306219463756
Derbyshire,2023.0,1088915.0000000014,2624.74,53.265624239958676,2131,63067.0,0.005326562423995868,0.14814425669653938,0.1102717057771467,391.1862810216484,7577.1790296138
Devon and Cornwall,2023.0,1815777.2000000104,10268.31,54.989900597778934,3642,42112.0,0.005498990059777894,0.07743189173725668,0.2675804628300053,261.53846152460164,-13453.664925496374
Dorset,2023.0,1602659.200000003,2977.06,48.08856502242153,1430,35887.0,0.004808856502242153,0.15378410184550698,0.11395248665466114,275.06011963218333,1703.9549777718207
Durham,2023.0,642559.0000000056,2423.3799999999997,65.66666666666667,1372,40062.0,0.006566666666666668,0.10805410022536045,0.0793845019966066,318.6675141179144,-4143.44013666471
Dyfed-Powys,2023.0,521312.20000000205,10954.32,51.97845788460139,1303,25743.0,0.00519784578846014,0.13394201622071683,0.16279059646281935,267.66355286287103,-679.7525044136034
Essex,2023.0,1898803.800000012,3663.97,48.64249830130973,3747,82648.0,0.004864249830130973,0.22864365783987517,0.19798796535805316,858.8603591563441,-24817.165860521207
