PFA_Name,Year,IMD_Score,Police_Count,Crime_Count,Alpha_i,B_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_Monthly_Snapshot
Thames Valley,2021,36.4435697646696,4413,101937.0,0.00364435697646696,81.3097658959264,0.09682955411558135,0.03805537265928489,546.7892620332544,1987.1235242925536
Warwickshire,2021,45.77359868463561,1053,29010.0,0.004577359868463561,14.80638243259201,0.1566791460700531,0.06773890014849437,438.92851823847946,-4274.932668494975
West Mercia,2021,50.21887933054138,2312,83751.0,0.005021887933054138,84.96231423357224,0.12646269435472066,0.18872224997297424,356.4953921362041,-7897.794245911227
West Midlands,2021,66.66153194009041,7445,203369.0,0.006666153194009042,27.54027048208951,0.14967106462430277,0.11128989174520815,283.81135103214444,-5230.959927060579
West Yorkshire,2021,64.63197258961651,5705,171293.0,0.006463197258961651,209.92112722941886,0.10971531017216135,0.05099658930761067,407.0377977987574,-1728.7819160092877
Wiltshire,2021,43.84260120986505,1080,33117.0,0.004384260120986506,28.92730154908421,0.11324298389861372,0.06640834539986576,319.769719211378,1866.1777147981904
Avon and Somerset,2022,44.764594192836014,3137,81936.0,0.004476459419283601,69.03181377107546,0.012512254184383714,0.10756321868221361,211.54345315014433,-587.348089416423
Bedfordshire,2022,53.920716320716316,1383,30891.0,0.005392071632071632,80.1104742573785,0.10430099029245386,0.023083069937949785,248.21678613114346,-124.44403751014339
Cambridgeshire,2022,45.85250240330455,1645,40862.0,0.004585250240330455,56.395510820121814,0.06581410319852399,0.0399661413812735,248.4379550967044,497.661706612839
Cheshire,2022,49.520938645426355,2330,51683.0,0.004952093864542636,130.82802150869628,0.1459218614483416,0.13203885078594643,311.6660531994269,-571.1843184740885
Cleveland,2022,67.99951660064139,1429,50195.0,0.006799951660064139,50.57861448149794,0.08811145209926806,0.06268581534854548,221.46612776045419,-2236.57790753117
Cumbria,2022,55.91788016232991,1270,23858.0,0.005591788016232991,37.77139377575917,0.19921290331960673,0.0816936031230837,455.80850183702154,544.6185163868852
Derbyshire,2022,53.265624239958676,2001,64916.0,0.005326562423995868,220.21297330951765,0.13550024810836722,0.1102717057771467,401.1595687512667,-7416.232390659878
Devon and Cornwall,2022,54.989900597778934,3442,64908.0,0.005498990059777894,163.31495969541695,0.06050083988265113,0.2675804628300053,274.84882687710297,28179.98867970288
Dorset,2022,48.08856502242153,1349,38037.0,0.004808856502242153,96.94754213774026,0.14435937904432686,0.11395248665466114,328.14545328536735,-9617.016644144334
Durham,2022,65.66666666666667,1285,43286.0,0.006566666666666668,86.84336955529695,0.10219230370281668,0.0793845019966066,320.70454777607404,2075.3124497596486
Dyfed-Powys,2022,52.20054179830648,1259,29858.0,0.005220054179830649,-122.91405146279504,0.16177390602541164,0.16279059646281935,279.7894727883001,2898.8941209527015
Essex,2022,48.64249830130973,3604,100999.0,0.004864249830130973,72.37557302317497,0.2259824266428439,0.19798796535805316,896.7498937127438,2221.6075158318263
Gloucestershire,2022,42.82169693450181,1248,38281.0,0.004282169693450181,42.16233161976392,0.12897551125041398,0.11710170519428939,255.2545493989693,-4205.299563587093
Greater Manchester,2022,64.06394920617097,7536,14.0,0.0064063949206170975,3.8397616913486003,202.2465809243427,2.2360599915712482,608.1346465578191,409.29476440535086
Gwent,2022,52.20054179830648,1478,35341.0,0.005220054179830649,186.4844471840418,0.17486000985820505,0.14990018819695802,252.0528090602061,-3831.7012193782416
Hampshire and Isle of Wight,2022,43.14797429022277,3227,103473.0,0.004314797429022277,83.53354567470907,0.07116184698124216,0.0874008040393226,239.05524009258505,-11471.775893715574
Hertfordshire,2022,40.33497332322295,2234,54922.0,0.004033497332322295,37.85724605394112,0.18833651126468753,0.029487277238564685,842.8824714753218,-2046.4281698149903
Humberside,2022,60.47984100121401,2162,49767.0,0.006047984100121402,156.1821916644088,0.10404378269508717,0.0369440543837566,322.50817166963094,1801.5011781313274
Kent,2022,55.51723561371496,4005,111245.0,0.005551723561371496,160.23958643985236,0.24156057132860823,0.11328466638127774,1167.711319230887,116.18332886876306
Lancashire,2022,60.162611531893084,3321,121488.0,0.006016261153189309,247.89348266999093,0.14394208081079068,0.11102933626239057,400.0475189001821,8445.287059995448
Leicestershire,2022,42.290760292721075,2282,53620.0,0.004229076029272107,94.34630517567017,0.06625688971017538,0.03421900509348746,249.17902881624957,-2967.0561533026366
Lincolnshire,2022,59.016483508756906,1167,39073.0,0.005901648350875691,6.170106459921331,0.1044838753544705,0.055972632981138984,250.6994797123837,-855.8629953323614
"London, City of",2022,31.666666666666668,958,2329.0,0.003166666666666667,-10.35323780580318,5.826580288869396,0.10392566243293065,3001.188196835893,1363.5055517233504
Merseyside,2022,67.11468913562608,4062,90606.0,0.006711468913562608,86.80920287584352,0.1284986913747799,0.11586479764575924,328.97743056956944,3779.0407598635516
Metropolitan Police,2022,58.95259528047169,34517,509085.0,0.005895259528047169,-532.0300826469731,0.12786376700132,0.04755964035731477,307.63897326689596,-20028.487155147992
Norfolk,2022,57.97262889600568,1872,44483.0,0.005797262889600569,44.378485007749006,0.0980935255019185,0.09268266651126425,198.29291451434756,-1840.1727022029922
North Wales,2022,52.20054179830648,1640,47174.0,0.005220054179830649,39.414882043802464,0.09931177192905732,0.08306468719691056,252.3179341804505,160.9394010524624
North Yorkshire,2022,39.403933797073634,1637,40272.0,0.003940393379707364,21.511466912676028,0.20263481883720086,0.11909125230974618,496.61962798875777,-7579.896352800826
Northamptonshire,2022,49.80767916922867,1429,43360.0,0.004980767916922867,54.061242283396275,0.10727894886021784,0.06192713856900558,217.33163580457835,3329.919338422786
Northumbria,2022,64.01796301740093,3622,101440.0,0.006401796301740093,166.19246466187215,0.11780628997809597,0.09835828127569135,208.82680591231002,18446.40126316763
Nottinghamshire,2022,53.07263995786478,2361,59397.0,0.005307263995786478,288.1638703126464,0.09557195592373902,0.09955960504763975,337.9283625299295,5214.655680339832
South Wales,2022,52.20054179830648,3361,65760.0,0.005220054179830649,62.57861508334805,0.1434469679217934,0.1089182367122207,170.17115623538922,-4522.356855221709
South Yorkshire,2022,67.056185956853,2949,87317.0,0.0067056185956853006,112.23170497215435,0.11177125037376924,0.015613475774641972,444.12887693661366,-127.52022033833865
Staffordshire,2022,50.06831967597653,1895,64836.0,0.005006831967597654,135.55710301201566,0.08066510374102262,0.07129180540928623,422.2787188872416,3390.001343007313
Suffolk,2022,51.6708943367096,1360,34240.0,0.00516708943367096,32.43940204938999,0.13186007212934694,0.14341576353873253,312.1755030106277,-2902.8920566794286
Surrey,2022,30.98171738979266,2117,45199.0,0.003098171738979266,52.43496873594691,0.2626357017420531,0.05701189552104819,959.0354054122283,-2118.8526924052894
Sussex,2022,49.99813447905561,2960,72385.0,0.004999813447905561,9.373352860919237,0.11550797550733216,0.09634856180752262,401.36692879603936,6794.583075463649
Thames Valley,2022,36.4435697646696,4698,100981.0,0.00364435697646696,81.3097658959264,0.09682955411558135,0.03805537265928489,513.6411743322988,-5591.122832687889
Warwickshire,2022,45.77359868463561,1018,27241.0,0.004577359868463561,14.80638243259201,0.1566791460700531,0.06773890014849437,411.39826626198203,-599.0669785828034
West Mercia,2022,50.21887933054138,2343,68730.0,0.005021887933054138,84.96231423357224,0.12646269435472066,0.18872224997297424,336.3897020643988,5177.865652631901
West Midlands,2022,66.66153194009041,7596,185316.0,0.006666153194009042,27.54027048208951,0.14967106462430277,0.11128989174520815,264.82305842226276,-10083.921408423297
West Yorkshire,2022,64.63197258961651,5838,170187.0,0.006463197258961651,209.92112722941886,0.10971531017216135,0.05099658930761067,364.1948743861391,1559.9210637101435
Wiltshire,2022,43.84260120986505,1120,32481.0,0.004384260120986506,28.92730154908421,0.11324298389861372,0.06640834539986576,305.6198476006009,-2265.313267809687
Avon and Somerset,2023,44.764594192836014,3310,83712.0,0.004476459419283601,69.03181377107546,0.012512254184383714,0.10756321868221361,170.810842805829,-1735.6212128723034
Bedfordshire,2023,53.920716320716316,1444,29930.0,0.005392071632071632,80.1104742573785,0.10430099029245386,0.023083069937949785,240.4674121259765,520.840647133469
Cambridgeshire,2023,45.85250240330455,1736,40024.0,0.004585250240330455,56.395510820121814,0.06581410319852399,0.0399661413812735,224.3000159641184,-718.7186363364881
Cheshire,2023,49.520938645426355,2355,47816.0,0.004952093864542636,130.82802150869628,0.1459218614483416,0.13203885078594643,282.10441842373984,-12793.157528974052
Cleveland,2023,67.99951660064139,1495,49830.0,0.006799951660064139,50.57861448149794,0.08811145209926806,0.06268581534854548,205.878331698249,-2627.160366202434
